seed,sample_size,measure,perturbation,lambda,median_discrepancy,mean_discrepancy,median_rho,mean_rho,q025_rho,q975_rho,exceedance_rate,n_repetitions
20260834,100,TV,location,0.1,0.29,0.28692,0.8055555555555556,0.797,0.5687500000000001,1.027777777777778,0.04,500
20260834,100,TV,location,0.2,0.29000000000000004,0.29419999999999996,0.8055555555555557,0.8172222222222223,0.6111111111111112,1.0701388888888883,0.068,500
20260834,100,TV,location,0.3,0.30000000000000004,0.30495999999999995,0.8333333333333335,0.8471111111111111,0.6388888888888888,1.1111111111111112,0.118,500
20260834,100,TV,location,0.4,0.32,0.32106,0.888888888888889,0.8918333333333334,0.638888888888889,1.138888888888889,0.19,500
20260834,100,TV,location,0.5,0.33,0.33268000000000003,0.9166666666666667,0.9241111111111112,0.6944444444444444,1.1944444444444444,0.238,500
20260834,100,TV,location,0.6,0.35,0.35246,0.9722222222222222,0.9790555555555557,0.7222222222222223,1.2500000000000002,0.386,500
20260834,100,TV,location,0.8,0.4,0.40054,1.1111111111111112,1.112611111111111,0.8611111111111113,1.3888888888888888,0.772,500
20260834,100,TV,location,1.0,0.45,0.45192,1.25,1.2553333333333334,0.9722222222222222,1.5555555555555558,0.954,500
20260834,100,TV,scale,0.0,0.29,0.28844,0.8055555555555556,0.8012222222222223,0.5833333333333334,1.0555555555555556,0.068,500
20260834,100,TV,scale,0.05,0.29000000000000004,0.29074,0.8055555555555557,0.8076111111111112,0.5833333333333334,1.027777777777778,0.042,500
20260834,100,TV,scale,0.1,0.29000000000000004,0.29468,0.8055555555555557,0.8185555555555557,0.5965277777777779,1.027777777777778,0.05,500
20260834,100,TV,scale,0.2,0.30000000000000004,0.30606,0.8333333333333335,0.8501666666666667,0.6111111111111112,1.1388888888888888,0.084,500
20260834,100,TV,scale,0.3,0.32,0.32432,0.888888888888889,0.900888888888889,0.6944444444444444,1.138888888888889,0.188,500
20260834,100,TV,scale,0.4,0.33999999999999997,0.33842,0.9444444444444444,0.9400555555555556,0.6944444444444444,1.1944444444444446,0.286,500
20260834,100,TV,scale,0.5,0.36,0.36046,1.0,1.001277777777778,0.7631944444444446,1.2777777777777777,0.438,500
