target,degree,n_terms,method,train_rmse,train_mae,train_max_error,eval_rmse,eval_mae,eval_max_error,condition_number
phi5_transition,5,21,Linf,0.16921099005315113,0.15175885578095272,0.23791102006176246,0.1691404408477714,0.15219251925515762,0.23976114430488576,5.144739949812352
phi5_transition,6,28,L2,0.14344353325310144,0.12069079711462037,0.4998670703540744,0.1410633578850024,0.12006090898894267,0.4654195644921709,5.988847135087288
phi5_transition,6,28,Linf,0.16921099005315923,0.1517588557809653,0.23791102006331855,0.16914044084777563,0.15219251925516203,0.2397611443050332,5.988847135087288
phi5_transition,7,36,L2,0.09262444069348266,0.0771757209815166,0.32116985954867827,0.09123163123286825,0.0770201956787033,0.28192005112158647,6.8447319243474425
phi5_transition,7,36,Linf,0.11248981996050897,0.10098061658919326,0.1581439601677197,0.11237429391621036,0.1011199492870458,0.16157823169091223,6.8447319243474425
phi5_transition,8,45,L2,0.09262444069348266,0.07717572098151668,0.3211698595486807,0.09123163123286829,0.0770201956787034,0.2819200511215896,7.803290381030962
phi5_transition,8,45,Linf,0.11248981996001733,0.10098061658862448,0.15814396013633236,0.11237429391581637,0.10111994928667328,0.1615782316881793,7.803290381030962
phi5_transition,9,55,L2,0.06056326553969074,0.0499327848150463,0.1869946575135546,0.0598804488298749,0.05014814732805393,0.14983057464171334,8.740126263391407
phi5_transition,9,55,Linf,0.07507960876486074,0.06760890417438209,0.10407006148562326,0.07497403436924706,0.06746376438453773,0.10936204383024695,8.740126263391407
phi5_transition,10,66,L2,0.060563265539690735,0.04993278481504621,0.18699465751355926,0.059880448829874915,0.05014814732805392,0.14983057464171534,9.760800153575802
phi5_transition,10,66,Linf,0.07507961475313857,0.06760890761584891,0.10407001859341136,0.07497403967902276,0.06746376881743928,0.10936204327320143,9.760800153575802
phi5_transition,11,78,L2,0.03982252059884225,0.032809958281919085,0.09907861167222487,0.03959342056309427,0.03287942928305073,0.09815962307152976,10.761903124203743
phi5_transition,11,78,Linf,0.0509308483357251,0.04566797235706832,0.0708193566859679,0.05083379007476298,0.04574845705531003,0.07425879705147764,10.761903124203743
phi5_transition,12,91,L2,0.03982252059884224,0.03280995828191928,0.0990786116722312,0.0395934205630944,0.03287942928305088,0.0981596230715307,11.858716675852053
phi5_transition,12,91,Linf,0.05093303620342526,0.04567318449971886,0.07081935229401237,0.050835224720984735,0.04574923192386161,0.07486188736596466,11.858716675852053
