experiment,target,degree,n_terms,method,train_grid_size,eval_grid_size,train_rmse,train_mae,train_p95_error,train_p99_error,train_max_error,eval_rmse,eval_mae,eval_p95_error,eval_p99_error,eval_max_error,condition_number,linf_training_optimum
primary,interaction,3,10,L2,31,201,0.4289651030851152,0.3629076936772518,0.8066250345506308,1.0979915766226926,1.7433581589864566,0.4131106540311722,0.35319029494649756,0.7643383099035372,0.9608640763499786,1.690494117113077,3.52874327028453,
primary,interaction,3,10,Linf,31,201,0.5209544739788762,0.45417734302875007,0.7930644944155213,0.8064950606448115,0.8064950606448869,0.5143844296497114,0.44784090805426074,0.7875688725726463,0.8022272348244938,0.8081588385028237,3.52874327028453,0.806495060644845
primary,interaction,4,15,L2,31,201,0.3109993281014382,0.2283472200978523,0.5700865846522793,0.8108534885554785,2.8307849485137897,0.2849541385460606,0.21828061293363255,0.5209793551846573,0.7758595218134657,2.7006307043977955,4.428298804535025,
primary,interaction,4,15,Linf,31,201,0.5177381500095694,0.4656875444631072,0.7319946124162273,0.7399012595023984,0.7399012595024217,0.5116952100371156,0.45990491809127826,0.7291476661752638,0.7380339192134528,0.7415536675701502,4.428298804535025,0.7399012595023992
primary,interaction,5,21,L2,31,201,0.22865759900817,0.18151839418903676,0.3736611185852029,0.7724081872807386,1.3090776172736374,0.21233083460952573,0.17471559474017875,0.3568831186542368,0.5901280882335991,1.2228499445290124,5.144739949812352,
primary,interaction,5,21,Linf,31,201,0.29864451568488426,0.2668360066491196,0.44334667040628084,0.447649093293074,0.44764909329320907,0.298607595979308,0.26692846671276754,0.4427596966659524,0.4475487465525999,0.44970120439936223,5.144739949812352,0.44764909329307345
primary,interaction,6,28,L2,31,201,0.09258560237208996,0.07479568150840034,0.1718891725815559,0.27297762159620553,0.5388599634396123,0.08411069952926375,0.07060582029614984,0.14589135526647634,0.23758927434669985,0.4485637722735304,5.988847135087288,
primary,interaction,6,28,Linf,31,201,0.11657435650842218,0.10250762292725202,0.18994777017492326,0.1953677065834115,0.19536770658376448,0.11429886562956149,0.10040782192853046,0.18586818787568782,0.19582307975337993,0.20250730076749957,5.988847135087288,0.19536770658340136
primary,interaction,7,36,L2,31,201,0.061918916922263464,0.043892937069591485,0.1170861863428172,0.18027081993921962,0.7155559644358657,0.05451073632924717,0.042010058653412743,0.11277702168248105,0.1479073713013994,0.6229543593993316,6.8447319243474425,
primary,interaction,7,36,Linf,31,201,0.10272039692841135,0.09156234284301613,0.15257544914342452,0.15265873704715424,0.15265873704720478,0.10256373923772653,0.09175731085909294,0.15160939185678435,0.1532933491495193,0.1604319650331908,6.8447319243474425,0.15265873704715316
primary,interaction,8,45,L2,31,201,0.0346768052752408,0.026510168920622128,0.05575266231958986,0.10192185503238545,0.2326326823088011,0.030976113375741285,0.02533788880591194,0.05284510140808829,0.07065290129124113,0.20712073750573842,7.803290381030962,
primary,interaction,8,45,Linf,31,201,0.04625934971008117,0.04104472987530896,0.0685841241541069,0.06858412415927538,0.06858412415976882,0.04620347376080743,0.04112758050389113,0.06833722931228631,0.06911107311507836,0.06996210588575746,7.803290381030962,0.06858412415926929
primary,interaction,9,55,L2,31,201,0.009765900765840012,0.00770347723474572,0.017708378391596002,0.032903968998771245,0.04117371277304338,0.00868405678955075,0.007247757469671198,0.015051283027144313,0.023217968986412235,0.03490121774414677,8.740126263391407,
primary,interaction,9,55,Linf,31,201,0.013008750153368238,0.011576239236184357,0.01919297735358305,0.01919297735379395,0.01919297735948839,0.012886773402695954,0.011472923399193043,0.01904772528432247,0.019346837177489973,0.021766064028024862,8.740126263391407,0.019192977353688575
primary,interaction,10,66,L2,31,201,0.00544415157832025,0.0037790812977691796,0.009591096985224867,0.01644238693819775,0.054003279219603344,0.00479620651394405,0.003613792512637896,0.009326335015967802,0.015365902982774737,0.03923993144007563,9.760800153575802,
primary,interaction,10,66,Linf,31,201,0.009147001677840848,0.008177392395260765,0.013502729727802198,0.013502729727850493,0.013502729739537074,0.008988633678306272,0.007995214602879209,0.013462609665946812,0.013762791763866744,0.015517883287044714,9.760800153575802,0.01350272972780788
primary,interaction,11,78,L2,31,201,0.002733541152256561,0.0020279574104539078,0.0046155931461402955,0.008389878318807931,0.016770011865912343,0.002443002126064749,0.0019398431577843376,0.004471569148823629,0.0060263478137069304,0.012534585453828621,10.761903124203743,
