degree,regime,d,mean_pair_max_error,min_pair_max_error,max_pair_max_error,mean_prediction_difference,bound_satisfaction_rate
11,preserved,0.5,3.3825164891254643e-15,2.4424906541753444e-15,4.163336342344337e-15,0.9999999999999999,0.0
11,preserved,0.75,3.749667243369004e-15,3.1086244689504383e-15,4.884981308350689e-15,1.500000000000001,0.0
11,preserved,1.0,4.712230605719015e-15,6.661338147750939e-16,5.773159728050814e-15,2.000000000000005,0.0
11,representational_loss,0.1,0.12327259938022544,0.10006753219966597,0.2746528926116426,0.0,1.0
11,representational_loss,0.25,0.2732725993802254,0.25006753219966593,0.42465289261164263,0.0,1.0
11,representational_loss,0.5,0.5232725993802254,0.5000675321996659,0.6746528926116426,0.0,1.0
11,representational_loss,0.75,0.7732725993802254,0.7500675321996659,0.9246528926116426,0.0,1.0
11,representational_loss,1.0,1.0232725993802254,1.000067532199666,1.1746528926116426,0.0,1.0
12,observational_loss,0.1,0.1269004666927522,0.1002641989936409,0.2222321651280343,0.0,1.0
12,observational_loss,0.25,0.2769004666927522,0.2502641989936409,0.37223216512803425,0.0,1.0
12,observational_loss,0.5,0.5269004666927521,0.5002641989936409,0.6222321651280343,0.0,1.0
12,observational_loss,0.75,0.7769004666927521,0.7502641989936409,0.8722321651280343,0.0,1.0
12,observational_loss,1.0,1.0269004666927521,1.000264198993641,1.1222321651280343,0.0,1.0
12,preserved,0.1,7.527450884836639e-15,1.915134717478395e-15,2.0608514894604468e-14,0.1999999999999996,0.0
12,preserved,0.25,6.2858607208227115e-15,1.27675647831893e-15,1.4682699500667695e-14,0.4999999999999989,0.0
12,preserved,0.5,6.316280831697441e-15,1.3877787807814457e-15,1.199040866595169e-14,1.0000000000000022,0.0
12,preserved,0.75,4.8978598954363406e-15,1.1102230246251565e-16,1.3211653993039363e-14,1.4999999999999971,0.0
12,preserved,1.0,2.0253576593631805e-14,3.774758283725532e-15,1.2967404927621828e-13,1.999999999999995,0.0
12,representational_loss,0.1,0.1269004666927522,0.1002641989936409,0.2222321651280343,0.0,1.0
12,representational_loss,0.25,0.2769004666927522,0.2502641989936409,0.37223216512803425,0.0,1.0
12,representational_loss,0.5,0.5269004666927521,0.5002641989936409,0.6222321651280343,0.0,1.0
12,representational_loss,0.75,0.7769004666927521,0.7502641989936409,0.8722321651280343,0.0,1.0
12,representational_loss,1.0,1.0269004666927521,1.000264198993641,1.1222321651280343,0.0,1.0
13,observational_loss,0.1,0.12888058554811696,0.10000872962341903,0.2945256549472234,0.0,1.0
13,observational_loss,0.25,0.2788805855481169,0.250008729623419,0.44452565494722335,0.0,1.0
13,observational_loss,0.5,0.528880585548117,0.500008729623419,0.6945256549472234,0.0,1.0
13,observational_loss,0.75,0.778880585548117,0.750008729623419,0.9445256549472234,0.0,1.0
13,observational_loss,1.0,1.028880585548117,1.000008729623419,1.1945256549472234,0.0,1.0
13,preserved,0.1,2.6553481635716024e-15,1.6514567491299204e-15,3.219646771412954e-15,0.20000000000000062,0.0
13,preserved,0.25,2.8942404028953205e-15,1.5543122344752192e-15,3.552713678800501e-15,0.500000000000001,0.0
13,preserved,0.5,3.3386626796527707e-15,1.6653345369377348e-15,3.774758283725532e-15,1.0000000000000018,0.0
13,preserved,0.75,3.4523495173743868e-15,2.55351295663786e-15,3.885780586188048e-15,1.5000000000000022,0.0
13,preserved,1.0,5.992983886926595e-15,5.551115123125783e-15,7.105427357601002e-15,2.000000000000005,0.0
13,representational_loss,0.1,0.12888058554811696,0.10000872962341903,0.2945256549472234,0.0,1.0
13,representational_loss,0.25,0.2788805855481169,0.250008729623419,0.44452565494722335,0.0,1.0
13,representational_loss,0.5,0.528880585548117,0.500008729623419,0.6945256549472234,0.0,1.0
13,representational_loss,0.75,0.778880585548117,0.750008729623419,0.9445256549472234,0.0,1.0
13,representational_loss,1.0,1.028880585548117,1.000008729623419,1.1945256549472234,0.0,1.0
14,observational_loss,0.1,0.13089279353372515,0.10010551443375787,0.23917107645319685,0.0,1.0
14,observational_loss,0.25,0.28089279353372515,0.2501055144337579,0.3891710764531968,0.0,1.0
14,observational_loss,0.5,0.5308927935337251,0.5001055144337578,0.6391710764531968,0.0,1.0
14,observational_loss,0.75,0.7808927935337251,0.7501055144337578,0.8891710764531968,0.0,1.0
14,observational_loss,1.0,1.030892793533725,1.0001055144337578,1.1391710764531968,0.0,1.0
14,preserved,0.1,3.5410840926175525e-15,2.5118795932144167e-15,4.954370247389761e-15,0.19999999999999984,0.0
14,preserved,0.25,3.459232900127063e-15,2.3592239273284576e-15,4.884981308350689e-15,0.5000000000000001,0.0
14,preserved,0.5,3.329891917758232e-15,1.7763568394002505e-15,4.9960036108132044e-15,1.0,0.0
14,preserved,0.75,3.646194457473939e-15,2.3314683517128287e-15,4.773959005888173e-15,1.5000000000000009,0.0
14,preserved,1.0,2.7056135110115066e-15,8.881784197001252e-16,9.992007221626409e-15,2.0000000000000004,0.0
14,representational_loss,0.1,0.13089279353372515,0.10010551443375787,0.23917107645319685,0.0,1.0
14,representational_loss,0.25,0.28089279353372515,0.2501055144337579,0.3891710764531968,0.0,1.0
14,representational_loss,0.5,0.5308927935337251,0.5001055144337578,0.6391710764531968,0.0,1.0
14,representational_loss,0.75,0.7808927935337251,0.7501055144337578,0.8891710764531968,0.0,1.0
14,representational_loss,1.0,1.030892793533725,1.0001055144337578,1.1391710764531968,0.0,1.0
15,observational_loss,0.1,0.12969216061678268,0.10022839574105952,0.28909465747085505,0.0,1.0
15,observational_loss,0.25,0.27969216061678265,0.2502283957410595,0.439094657470855,0.0,1.0
15,observational_loss,0.5,0.5296921606167826,0.5002283957410595,0.689094657470855,0.0,1.0
15,observational_loss,0.75,0.7796921606167826,0.7502283957410595,0.939094657470855,0.0,1.0
15,observational_loss,1.0,1.0296921606167828,1.0002283957410596,1.189094657470855,0.0,1.0
15,preserved,0.1,2.0712598303163077e-15,4.85722573273506e-16,3.0253577421035516e-15,0.20000000000000015,0.0
15,preserved,0.25,2.0487500584920324e-15,6.661338147750939e-16,2.886579864025407e-15,0.5000000000000003,0.0
15,preserved,0.5,2.2519763831496674e-15,1.3877787807814457e-15,4.107825191113079e-15,1.0000000000000004,0.0
15,preserved,0.75,2.2959412149248237e-15,1.2212453270876722e-15,3.9968028886505635e-15,1.5,0.0
15,preserved,1.0,3.560041150763027e-15,2.6645352591003757e-15,5.10702591327572e-15,2.0000000000000018,0.0
15,representational_loss,0.1,0.12969216061678268,0.10022839574105952,0.28909465747085505,0.0,1.0
15,representational_loss,0.25,0.27969216061678265,0.2502283957410595,0.439094657470855,0.0,1.0
15,representational_loss,0.5,0.5296921606167826,0.5002283957410595,0.689094657470855,0.0,1.0
15,representational_loss,0.75,0.7796921606167826,0.7502283957410595,0.939094657470855,0.0,1.0
15,representational_loss,1.0,1.0296921606167828,1.0002283957410596,1.189094657470855,0.0,1.0
16,observational_loss,0.1,0.13063182710798757,0.10002334155732057,0.31594466440052227,0.0,1.0
16,observational_loss,0.25,0.2806318271079875,0.2500233415573206,0.46594466440052223,0.0,1.0
16,observational_loss,0.5,0.5306318271079875,0.5000233415573205,0.7159446644005223,0.0,1.0
16,observational_loss,0.75,0.7806318271079875,0.7500233415573205,0.9659446644005223,0.0,1.0
16,observational_loss,1.0,1.0306318271079877,1.0000233415573205,1.2159446644005223,0.0,1.0
16,preserved,0.1,3.229971845541968e-15,2.4841240175987878e-15,3.83026943495679e-15,0.20000000000000054,0.0
16,preserved,0.25,3.2055469390002146e-15,2.4424906541753444e-15,3.608224830031759e-15,0.5000000000000009,0.0
16,preserved,0.5,4.3209880118411094e-15,2.886579864025407e-15,4.884981308350689e-15,1.0000000000000024,0.0
16,preserved,0.75,4.473088566214756e-15,3.552713678800501e-15,4.9960036108132044e-15,1.5000000000000018,0.0
16,preserved,1.0,4.863665026277886e-15,3.552713678800501e-15,6.439293542825908e-15,2.000000000000003,0.0
16,representational_loss,0.1,0.13063182710798757,0.10002334155732057,0.31594466440052227,0.0,1.0
16,representational_loss,0.25,0.2806318271079875,0.2500233415573206,0.46594466440052223,0.0,1.0
16,representational_loss,0.5,0.5306318271079875,0.5000233415573205,0.7159446644005223,0.0,1.0
16,representational_loss,0.75,0.7806318271079875,0.7500233415573205,0.9659446644005223,0.0,1.0
16,representational_loss,1.0,1.0306318271079877,1.0000233415573205,1.2159446644005223,0.0,1.0
