provider,scenario_id,sample_size,bandwidth,threshold,calibration_mean,calibration_median,calibration_sd,B
openai,SU05,25,0.21845408291116053,0.06074783115289358,0.03129992055643824,0.027019807452657862,0.015997724719035097,2000
openai,SU05,30,0.21845408291116053,0.05332332813759243,0.026253923134709554,0.023074212863808174,0.012694854216750314,2000
gemini,CP01,3,0.19185527179891385,0.4286590104803131,0.26101477537126433,0.24814685990292318,0.08881130397872804,2000
gemini,CP01,5,0.19185527179891385,0.2580447059358353,0.15760588081339882,0.14835196767831005,0.05404509064953,2000
gemini,CP01,7,0.19185527179891385,0.18726214910384312,0.11263967074788875,0.10526926774904255,0.03963072316328468,2000
gemini,CP01,10,0.19185527179891385,0.12808007767597468,0.07905372591569385,0.07380750858162022,0.026895265508910467,2000
gemini,CP01,15,0.19185527179891385,0.09030552697345053,0.05283706307987218,0.04893642425445732,0.018528827751391527,2000
gemini,CP01,20,0.19185527179891385,0.06632708759847711,0.03959474416753343,0.03664722807576215,0.013644586540565867,2000
gemini,CP01,25,0.19185527179891385,0.05526109067093719,0.03196401658900042,0.0292970334085918,0.011340220763613913,2000
gemini,CP01,30,0.19185527179891385,0.04384594728886168,0.02651337506413166,0.024767623208991507,0.008838405373186049,2000
gemini,CP02,3,0.26245489400942335,0.40632416639013275,0.25970409100128306,0.24627011579966673,0.07619991493826048,2000
gemini,CP02,5,0.26245489400942335,0.24417437751750135,0.15898859386772038,0.15249831288837934,0.045614124886684905,2000
gemini,CP02,7,0.26245489400942335,0.17613406332703016,0.11266147269485052,0.10632613546861114,0.032981848073394604,2000
gemini,CP02,10,0.26245489400942335,0.1197741356735123,0.07794702109490381,0.07403676880451782,0.02229311211673237,2000
gemini,CP02,15,0.26245489400942335,0.0819811679817978,0.05279353617268928,0.04990665510596337,0.016189876863845456,2000
gemini,CP02,20,0.26245489400942335,0.06031604361388273,0.039405684597510815,0.03719906312293397,0.01110265789125008,2000
