provider,scenario_id,perturbation_family,lambda,sample_size,reference_n,median_rho,mean_rho,sd_rho,median_mmd2,exceedance_rate,relative_deviation_vs_reference,exceedance_agreement_vs_reference,theta,rho_reconstruction_relative_error
openai,CP01,context_removal,0.75,25,30,17.913108762858126,17.91622993105363,0.4470567744784525,0.8672138587204908,1.0,0.1788880448535843,1.0,0.0484122477120561,5.949911418223837e-16
openai,CP01,context_removal,0.75,30,30,21.81567160310553,21.832196884648905,0.3845021245588069,0.860397398988518,1.0,0.0,1.0,0.0394394183521738,9.771086795131516e-16
openai,CP01,context_removal,1.0,3,30,2.7739770581496472,2.7796026646675074,0.2029550480130146,1.0970839174337992,1.0,0.8520632296057236,1.0,0.3954913448943941,3.2018232345893136e-16
openai,CP01,context_removal,1.0,5,30,3.860447481809473,3.866009145948722,0.2717235798332009,0.9399946886260792,1.0,0.7941215371418542,1.0,0.2434937123365512,1.1503568224736183e-16
openai,CP01,context_removal,1.0,7,30,4.979154063665443,4.999650309310162,0.312665636372838,0.8672843434186723,1.0,0.7344606836923356,1.0,0.1741830705234724,3.567587619678053e-16
openai,CP01,context_removal,1.0,10,30,6.7437058394442495,6.751144528344011,0.3701970383485271,0.8192275198429293,1.0,0.6403567724378109,1.0,0.121480316512507,1.3170479864426e-16
openai,CP01,context_removal,1.0,15,30,9.806967276837966,9.830491531887729,0.4238733436205257,0.7790291416324486,1.0,0.4769924062510057,1.0,0.079436294589496,7.2452850682825825e-16
openai,CP01,context_removal,1.0,20,30,12.85419312073014,12.87334761453769,0.4557890659541813,0.7591817674596517,1.0,0.3144832215830974,1.0,0.0590610208147027,9.67349545709599e-16
openai,CP01,context_removal,1.0,25,30,15.445685609321302,15.469675825976887,0.4283763206710093,0.7477603578010035,1.0,0.1762783910359657,1.0,0.0484122477120561,5.750333408082055e-16
openai,CP01,context_removal,1.0,30,30,18.751099207834063,18.757172842686284,0.3636774478310416,0.7395324462208829,1.0,0.0,1.0,0.0394394183521738,7.578678219175983e-16
openai,CP01,surface,0.25,3,30,1.3094235509272083,1.3190822880648057,0.2252008630937683,0.5178656811925948,0.934,0.8071999587877694,0.934,0.3954913448943941,1.695743174680191e-16
openai,CP01,surface,0.25,5,30,1.660781504695252,1.67740200539547,0.2493491371856332,0.4043898539581304,1.0,0.7554658747942781,1.0,0.2434937123365512,0.0
openai,CP01,surface,0.25,7,30,2.0627691527762657,2.083144041920007,0.2903561124139597,0.3592994648116718,1.0,0.6962770545978285,1.0,0.1741830705234724,2.1528788582685864e-16
openai,CP01,surface,0.25,10,30,2.669470766852653,2.685342023880938,0.3276146319933276,0.3242881536781451,1.0,0.606946069131265,1.0,0.121480316512507,1.6635852145841276e-16
openai,CP01,surface,0.25,15,30,3.726369775755376,3.7446019499152503,0.3453503305275217,0.2960090072562984,1.0,0.4513278413016831,1.0,0.079436294589496,7.150485377045667e-16
openai,CP01,surface,0.25,20,30,4.763832074385856,4.788871302077178,0.3582265053645234,0.2813567853030516,1.0,0.2985714823753026,1.0,0.0590610208147027,5.593260252448933e-16
openai,CP01,surface,0.25,25,30,5.639782486492763,5.649689134877827,0.3449798041850773,0.2730345467782035,1.0,0.1695961974611929,1.0,0.0484122477120561,6.299380671700059e-16
openai,CP01,surface,0.25,30,30,6.791614476294742,6.802935783186652,0.2978315284322236,0.2678573246172683,1.0,0.0,1.0,0.0394394183521738,6.538787079273992e-16
openai,CP01,surface,0.5,3,30,2.053152816890532,2.072410792951211,0.2438475628124044,0.8120041688257502,1.0,0.8450271214872384,1.0,0.3954913448943941,2.162962280238978e-16
openai,CP01,surface,0.5,5,30,2.8189425392435457,2.8364647356125454,0.3148589119293705,0.6863947837438351,1.0,0.787224976107593,1.0,0.2434937123365512,0.0
openai,CP01,surface,0.5,7,30,3.625626877199703,3.639450368328646,0.3625263894738366,0.6315228220430731,1.0,0.7263360871385006,1.0,0.1741830705234724,2.449723729944656e-16
openai,CP01,surface,0.5,10,30,4.8360413406114535,4.844274331076361,0.3912821070755511,0.5874838327250481,1.0,0.6349734705591423,1.0,0.121480316512507,1.836581528452829e-16
openai,CP01,surface,0.5,15,30,6.975405192140395,6.993561026194302,0.4561684602490779,0.5541003417239648,1.0,0.4734933451977454,1.0,0.079436294589496,8.913100768549219e-16
openai,CP01,surface,0.5,20,30,9.12664691236374,9.142960066808536,0.4922690301437187,0.5390290832595572,1.0,0.3111166730781017,1.0,0.0590610208147027,5.839023432561564e-16
openai,CP01,surface,0.5,25,30,10.946314630417728,10.954182071450395,0.4814194099277791,0.5299356954218871,1.0,0.1737673526165794,1.0,0.0484122477120561,4.868369582025605e-16
openai,CP01,surface,0.5,30,30,13.2484653869384,13.269110204472309,0.4756705270338765,0.522511768919758,1.0,0.0,1.0,0.0394394183521738,5.363207850930575e-16
openai,CP01,surface,0.75,3,30,2.7851230403952885,2.7753702838316148,0.2241817266914511,1.1014920569422966,1.0,0.8649607967923343,1.0,0.3954913448943941,0.0
openai,CP01,surface,0.75,5,30,3.986177226989376,3.995760648162165,0.3117516238855835,0.9706090910310629,1.0,0.806726601026291,1.0,0.2434937123365512,4.45629167557578e-16
openai,CP01,surface,0.75,7,30,5.26472667675341,5.275318094715024,0.3622010879831091,0.917026258023746,1.0,0.7447349775132307,1.0,0.1741830705234724,3.3740722899135826e-16
openai,CP01,surface,0.75,10,30,7.20858135276044,7.223781040220976,0.4129620589619356,0.8757007443394943,1.0,0.6504854299017799,1.0,0.121480316512507,1.2321126394169192e-16
openai,CP01,surface,0.75,15,30,10.651432531834049,10.65100954767823,0.4987114067893468,0.8461103323989114,1.0,0.4835556845219538,1.0,0.079436294589496,8.338581848456694e-16
openai,CP01,surface,0.75,20,30,14.044630443928009,14.05484488148578,0.5167041820100875,0.82949021098364,1.0,0.3190334225862478,1.0,0.0590610208147027,7.588765741436361e-16
openai,CP01,surface,0.75,25,30,16.965122513819814,16.96826019451482,0.484309332867435,0.8213197136044252,1.0,0.1774307298604996,1.0,0.0484122477120561,6.282383771599271e-16
openai,CP01,surface,0.75,30,30,20.62455179117338,20.662340348434764,0.4345368285418678,0.8134203264181632,1.0,0.0,1.0,0.0394394183521738,8.612826389567757e-16
openai,CP01,surface,1.0,3,30,2.467895589267788,2.479998284254726,0.232217198103869,0.9760313456584608,1.0,0.8542386304513438,1.0,0.3954913448943941,1.7994651466670097e-16
openai,CP01,surface,1.0,5,30,3.445757863972603,3.456358229912009,0.2878908151889804,0.8390203741115543,1.0,0.7964831301737866,1.0,0.2434937123365512,1.2887998152547887e-16
openai,CP01,surface,1.0,7,30,4.488958346526252,4.501303828040034,0.3444912114361466,0.7819005482499123,1.0,0.7348685579398154,1.0,0.1741830705234724,0.0
openai,CP01,surface,1.0,10,30,6.082907729091716,6.109902494524818,0.4074181916774479,0.7389535562464369,1.0,0.6407250917395659,1.0,0.121480316512507,0.0
openai,CP01,surface,1.0,15,30,8.810843799053082,8.836078644189623,0.4590165890113009,0.6999007836036153,1.0,0.4796049457625955,1.0,0.079436294589496,8.064411899305984e-16
openai,CP01,surface,1.0,20,30,11.565669923181886,11.58373179844556,0.4769408433340528,0.6830802720690269,1.0,0.3168965919458248,1.0,0.0590610208147027,7.679437729066491e-16
openai,CP01,surface,1.0,25,30,13.933139894430528,13.952951344963097,0.4760621378237907,0.6745346199759024,1.0,0.1770666628048984,1.0,0.0484122477120561,6.374574765126383e-16
openai,CP01,surface,1.0,30,30,16.93106751747408,16.94211634982122,0.4321991652206875,0.6677514549705614,1.0,0.0,1.0,0.0394394183521738,6.295020101598162e-16
