provider,scenario_id,perturbation_family,lambda,mmd2_previous,rho_previous,theta_previous,exceedance_previous,mmd2_current,rho_current,theta_current,exceedance_current,previous_n,current_n,transition,relative_change_mmd2,relative_change_theta,relative_change_rho,signed_change_mmd2,signed_change_theta,signed_change_rho,absolute_change_exceedance_rate,theta_decreased,mmd2_increased,rho_increased
qwen,CP05,context_removal,0.25,1.01807073467984,3.1275691102373253,0.3255150242235853,1.0,0.9397856186696588,4.079171726241421,0.2303863827609886,1.0,5,7,5->7,0.0833010363799779,0.4129091325735457,0.2332832937339732,-0.0833010363799779,-0.4129091325735457,0.2332832937339732,0.0,True,False,True
qwen,CP05,context_removal,0.5,0.9136934121068064,2.806916253055101,0.3255150242235853,1.0,0.7913602156142123,3.434926171114891,0.2303863827609886,1.0,5,7,5->7,0.15458598256376269,0.4129091325735457,0.18283068886338064,-0.15458598256376269,-0.4129091325735457,0.18283068886338064,0.0,True,False,True
qwen,CP05,context_removal,0.75,0.8789757670021281,2.700261743981406,0.3255150242235853,1.0,0.7752865167007559,3.365157729417831,0.2303863827609886,1.0,5,7,5->7,0.1337431363344528,0.4129091325735457,0.19758241333652177,-0.1337431363344528,-0.4129091325735457,0.19758241333652177,0.0,True,False,True
qwen,CP05,context_removal,1.0,0.9208198255928518,2.828808985972861,0.3255150242235853,1.0,0.8319059842408492,3.610916471152287,0.2303863827609886,1.0,5,7,5->7,0.10687967515120166,0.4129091325735457,0.2165952858305376,-0.10687967515120166,-0.4129091325735457,0.2165952858305376,0.0,True,False,True
qwen,CP05,surface,0.25,0.990010214493946,3.041365653875139,0.3255150242235853,1.0,0.9045815995016816,3.926367473029551,0.2303863827609886,1.0,5,7,5->7,0.09443992121808087,0.4129091325735457,0.2253996410762726,-0.09443992121808087,-0.4129091325735457,0.2253996410762726,0.0,True,False,True
qwen,CP05,surface,0.5,0.918390564452308,2.821346162570661,0.3255150242235853,1.0,0.815231758983783,3.5385414242539435,0.2303863827609886,1.0,5,7,5->7,0.12653923786913845,0.4129091325735457,0.20268104161999287,-0.12653923786913845,-0.4129091325735457,0.20268104161999287,0.0,True,False,True
qwen,CP05,surface,0.75,0.8848396950294326,2.7182760523571594,0.3255150242235853,1.0,0.7655678708461828,3.322973613594217,0.2303863827609886,1.0,5,7,5->7,0.15579523217375688,0.4129091325735457,0.18197483084525626,-0.15579523217375688,-0.4129091325735457,0.18197483084525626,0.0,True,False,True
qwen,CP05,surface,1.0,0.8968976663893762,2.7553188014244387,0.3255150242235853,1.0,0.78798259469815,3.420265491626874,0.2303863827609886,1.0,5,7,5->7,0.13822014905411448,0.4129091325735457,0.1944137646128016,-0.13822014905411448,-0.4129091325735457,0.1944137646128016,0.0,True,False,True
qwen,CR01,semantic,0.25,0.2530635798579126,0.8088959943206158,0.3128505786092541,0.277,0.2160843547140072,0.9426895489041184,0.2292211205324238,0.424,5,7,5->7,0.17113328354034843,0.3648418517568529,0.14192748263629137,-0.17113328354034843,-0.3648418517568529,0.14192748263629137,0.14699999999999996,True,False,True
qwen,CR01,semantic,0.5,0.9946160497268282,3.1792047633355645,0.3128505786092541,1.0,0.9527360915174876,4.156406221662811,0.2292211205324238,1.0,5,7,5->7,0.043957564515725946,0.3648418517568529,0.23510730333194135,-0.043957564515725946,-0.3648418517568529,0.23510730333194135,0.0,True,False,True
qwen,CR01,semantic,0.75,0.7279586166533756,2.326857184952135,0.3128505786092541,1.0,0.6875203383266119,2.9993760467171287,0.2292211205324238,1.0,5,7,5->7,0.05881757392834131,0.3648418517568529,0.22421958810435852,-0.05881757392834131,-0.3648418517568529,0.22421958810435852,0.0,True,False,True
qwen,CR01,semantic,1.0,1.212812920766397,3.876652318042163,0.3128505786092541,1.0,1.1873888688378826,5.180102366133943,0.2292211205324238,1.0,5,7,5->7,0.021411731738227607,0.3648418517568529,0.2516263108260893,-0.021411731738227607,-0.3648418517568529,0.2516263108260893,0.0,True,False,True
qwen,CR01,context_removal,0.25,0.3667816468214486,1.172386026747784,0.3128505786092541,0.639,0.336818557762026,1.4694045512895149,0.2292211205324238,0.855,5,7,5->7,0.08895913948005364,0.3648418517568529,0.20213529642403413,-0.08895913948005364,-0.3648418517568529,0.20213529642403413,0.21599999999999997,True,False,True
qwen,CR01,context_removal,0.5,0.6296419239007349,2.0125963221795686,0.3128505786092541,1.0,0.5988695262737638,2.612628037428393,0.2292211205324238,1.0,5,7,5->7,0.05138414341841804,0.3648418517568529,0.22966595575519996,-0.05138414341841804,-0.3648418517568529,0.22966595575519996,0.0,True,False,True
qwen,CR01,context_removal,0.75,1.1223706846775865,3.587561479563096,0.3128505786092541,1.0,1.0615893171406952,4.631289275067177,0.2292211205324238,1.0,5,7,5->7,0.0572550670541797,0.3648418517568529,0.22536441442408964,-0.0572550670541797,-0.3648418517568529,0.22536441442408964,0.0,True,False,True
qwen,CR01,context_removal,1.0,1.02434268727466,3.2742234066763523,0.3128505786092541,1.0,0.9582712165050838,4.180553756474348,0.2292211205324238,1.0,5,7,5->7,0.0689486124925527,0.3648418517568529,0.21679672182049523,-0.0689486124925527,-0.3648418517568529,0.21679672182049523,0.0,True,False,True
qwen,CR01,surface,0.25,1.2315052506208657,3.936400744711416,0.3128505786092541,1.0,1.1908891605457892,5.195372737815996,0.2292211205324238,1.0,5,7,5->7,0.03410568457644033,0.3648418517568529,0.24232563410528654,-0.03410568457644033,-0.3648418517568529,0.24232563410528654,0.0,True,False,True
qwen,CR01,surface,0.5,0.8479562339054001,2.710419260449843,0.3128505786092541,1.0,0.8151406511608595,3.5561323898403856,0.2292211205324238,1.0,5,7,5->7,0.040257571129359286,0.3648418517568529,0.23781823528468293,-0.040257571129359286,-0.3648418517568529,0.23781823528468293,0.0,True,False,True
qwen,CR01,surface,0.75,1.1431107370637412,3.6538552754012006,0.3128505786092541,1.0,1.0920832103414209,4.764321925504866,0.2292211205324238,1.0,5,7,5->7,0.04672494388625157,0.3648418517568529,0.23307968425873984,-0.04672494388625157,-0.3648418517568529,0.23307968425873984,0.0,True,False,True
